stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1654,2213CN,Stenico-Case Nuove,,46.052156,10.861018,2213
1655,2213DO,Stenico-Dologno,,46.053473,10.873476,2213
1656,2223,Dos Doa,,46.054273,10.897553,2211
1657,2214,Seo,,46.057110,10.872923,2214
1658,2215UN,Sclemo-Via Dei Caputel,,46.053619,10.879385,2215
1659,2215,Sclemo,,46.055964,10.884041,2215
1660,2216,Tavodo,,46.066323,10.892204,2216
1661,2216SP,Tavodo-S.Provinciale,,46.064889,10.892129,2216
1662,2218,Dorsino,,46.073366,10.896859,2218
1663,2219,S.Lorenzo In Banale,,46.076504,10.907305,2219
1664,2219CH,S.Lorenzo-Chiesa,,46.076672,10.909368,2219
1665,2220,Lago Nembia,,46.096096,10.932585,2220
1666,2220CE,Lago Nembia-Casa Enel,,46.107358,10.943027,2220
